file,name,status,mitre_attack_id,class,search_fragment_basis,reason
detections/cloud/github_enterprise_register_self_hosted_runner.yml,GitHub Enterprise Register Self-Hosted Runner,production,T1195,behavioral,"action=enterprise.register_self_hosted_runner","Platform audit-log action for registering a CI runner, the same mechanism Shai-Hulud 2.0 abused by registering runners named SHA1HULUD, but this search matches the registration action itself, not that specific runner name, so it also catches a future attacker registering a runner under any other name."
detections/cloud/github_enterprise_remove_organization.yml,GitHub Enterprise Remove Organization,production,T1195,behavioral,"action=business.remove_organization","Platform audit-log action for removing an org from an enterprise account. Generic destructive administrative action."
detections/cloud/github_enterprise_repository_archived.yml,GitHub Enterprise Repository Archived,production,T1195,behavioral,"action=repo.archived","Platform audit-log action for archiving a repo. Generic, not incident-specific."
detections/cloud/github_enterprise_repository_deleted.yml,GitHub Enterprise Repository Deleted,production,T1195,behavioral,"action=repo.destroy","Platform audit-log action for deleting a repo. Generic, not incident-specific."
detections/cloud/github_organizations_delete_branch_ruleset.yml,GitHub Organizations Delete Branch Ruleset,production,T1195,behavioral,"vendor_action=repository_ruleset.destroy","Same platform action as the Enterprise variant, via the Organizations audit log product surface. Generic."
detections/cloud/github_organizations_disable_2fa_requirement.yml,GitHub Organizations Disable 2FA Requirement,production,T1195,behavioral,"vendor_action=org.disable_two_factor_requirement","Same reasoning as the Enterprise 2FA detection: platform action name, generic."
detections/cloud/github_organizations_disable_classic_branch_protection_rule.yml,GitHub Organizations Disable Classic Branch Protection Rule,production,T1195,behavioral,"vendor_action=protected_branch.destroy","Same reasoning as the Enterprise branch-protection detection: platform action name, generic."
detections/cloud/github_organizations_disable_dependabot.yml,GitHub Organizations Disable Dependabot,production,T1195,behavioral,"vendor_action=repository_vulnerability_alerts.disable","Same reasoning as the Enterprise Dependabot detection: platform action name, generic."
detections/cloud/github_organizations_repository_archived.yml,GitHub Organizations Repository Archived,production,T1195,behavioral,"vendor_action=repo.archived","Same reasoning as the Enterprise archive detection: platform action name, generic."
detections/cloud/github_organizations_repository_deleted.yml,GitHub Organizations Repository Deleted,production,T1195,behavioral,"vendor_action=repo.destroy","Same reasoning as the Enterprise delete detection: platform action name, generic."
